/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')
Traceback (most recent call last):
  File "main.py", line 518, in <module>
    store = cox.store.Store(args.out_dir, args.exp_name)
  File "/home/yf22/.local/lib/python3.8/site-packages/cox/store.py", line 90, in __init__
    self.store = pd.HDFStore(os.path.join(exp_path, STORE_BASENAME), mode=mode)
  File "/opt/apps/software/SciPy-bundle/2020.11-foss-2020b/lib/python3.8/site-packages/pandas/io/pytables.py", line 553, in __init__
    self.open(mode=mode, **kwargs)
  File "/opt/apps/software/SciPy-bundle/2020.11-foss-2020b/lib/python3.8/site-packages/pandas/io/pytables.py", line 697, in open
    self._handle = tables.open_file(self._path, self._mode, **kwargs)
  File "/home/yf22/.local/lib/python3.8/site-packages/tables/file.py", line 300, in open_file
    return File(filename, mode, title, root_uep, filters, **kwargs)
  File "/home/yf22/.local/lib/python3.8/site-packages/tables/file.py", line 750, in __init__
    self._
  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 4.6594 | NatPrec1 1.562 | NatPrec5 9.375 | Reg term: 0.0 ||:   0%|          | 0/782 [00:12<?, ?it/s]
Train Epoch:0 | Loss 4.6594 | NatPrec1 1.562 | NatPrec5 9.375 | Reg term: 0.0 ||:   0%|          | 0/782 [00:12<?, ?it/s]
Train Epoch:0 | Loss 4.6594 | NatPrec1 1.562 | NatPrec5 9.375 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:36:21, 12.01s/it]
Train Epoch:0 | Loss 4.7079 | NatPrec1 1.562 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:36:21, 12.01s/it]
Train Epoch:0 | Loss 4.7079 | NatPrec1 1.562 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:36:21, 12.01s/it]
Train Epoch:0 | Loss 4.7079 | NatPrec1 1.562 | NatPrec5 7.812 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:20,  5.10s/it]
Train Epoch:0 | Loss 4.6828 | NatPrec1 1.042 | NatPrec5 8.333 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:20,  5.10s/it]
Train Epoch:0 | Loss 4.6828 | NatPrec1 1.042 | NatPrec5 8.333 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:20,  5.10s/it]
Train Epoch:0 | Loss 4.6828 | NatPrec1 1.042 | NatPrec5 8.333 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:29,  2.89s/it]  
Train Epoch:0 | Loss 4.7011 | NatPrec1 0.781 | NatPrec5 7.031 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:29,  2.89s/it]
Train Epoch:0 | Loss 4.7011 | NatPrec1 0.781 | NatPrec5 7.031 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:29,  2.89s/it]
Train Epoch:0 | Loss 4.7011 | NatPrec1 0.781 | NatPrec5 7.031 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<23:56,  1.85s/it]
Train Epoch:0 | Loss 4.6993 | NatPrec1 0.938 | NatPrec5 6.562 | Reg term: 0.0 ||:   1%|          | 4/782 [00:13<23:56,  1.85s/it]
Train Epoch:0 | Loss 4.6993 | NatPrec1 0.938 | NatPrec5 6.562 | Reg term: 0.0 ||:   1%|          | 4/782 [00:13<23:56,  1.85s/it]
Train Epoch:0 | Loss 4.6993 | NatPrec1 0.938 | NatPrec5 6.562 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:27,  1.27s/it]
Train Epoch:0 | Loss 4.7000 | NatPrec1 0.781 | NatPrec5 5.990 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:27,  1.27s/it]
Train Epoch:0 | Loss 4.7000 | NatPrec1 0.781 | NatPrec5 5.990 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:27,  1.27s/it]
Train Epoch:0 | Loss 4.7000 | NatPrec1 0.781 | NatPrec5 5.990 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<11:56,  1.08it/s]
Train Epoch:0 | Loss 4.6948 | NatPrec1 0.670 | NatPrec5 5.580 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<11:56,  1.08it/s]
Train Epoch:0 | Loss 4.6948 | NatPrec1 0.670 | NatPrec5 5.580 | Reg term: 0.0 ||:   1%|          | 6/782 [00:13<11:56,  1.08it/s]
