[Found existing metadata in store. Skipping this part.]
==> Preparing dataset cifar..
Files already downloaded and verified
Files already downloaded and verified
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
no weight for calculating sparsity
L1 Unstructured Pruning Start
L1 Unstructured Pruning Done!
* remain weight ratio =  90.00000085269986 %
remove pruning
=> loading checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt'
=> loaded checkpoint '/home/yf22/ResNet_ckpt/resnet50_l2_eps3.ckpt' (epoch 90)
[Replacing the last layer with 0 hidden layers and 1 classification layer that fits the cifar10 dataset.]
Dataset: cifar10 | Model: resnet50
Use SGD as the optimizer
/home/yf22/Transferred-Tickets-Wins/omp/my_robustness/train.py:25: UserWarning: Could not import amp.
  warnings.warn('Could not import amp.')

  0%|          | 0/782 [00:00<?, ?it/s]
Train Epoch:0 | Loss 2.4024 | NatPrec1 10.938 | NatPrec5 40.625 | Reg term: 0.0 ||:   0%|          | 0/782 [00:11<?, ?it/s]
Train Epoch:0 | Loss 2.4024 | NatPrec1 10.938 | NatPrec5 40.625 | Reg term: 0.0 ||:   0%|          | 0/782 [00:11<?, ?it/s]
Train Epoch:0 | Loss 2.4024 | NatPrec1 10.938 | NatPrec5 40.625 | Reg term: 0.0 ||:   0%|          | 1/782 [00:11<2:35:47, 11.97s/it]
Train Epoch:0 | Loss 2.3504 | NatPrec1 9.375 | NatPrec5 50.781 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:35:47, 11.97s/it] 
Train Epoch:0 | Loss 2.3504 | NatPrec1 9.375 | NatPrec5 50.781 | Reg term: 0.0 ||:   0%|          | 1/782 [00:12<2:35:47, 11.97s/it]
Train Epoch:0 | Loss 2.3504 | NatPrec1 9.375 | NatPrec5 50.781 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:13,  5.09s/it]
Train Epoch:0 | Loss 2.3397 | NatPrec1 10.417 | NatPrec5 52.604 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:13,  5.09s/it]
Train Epoch:0 | Loss 2.3397 | NatPrec1 10.417 | NatPrec5 52.604 | Reg term: 0.0 ||:   0%|          | 2/782 [00:12<1:06:13,  5.09s/it]
Train Epoch:0 | Loss 2.3397 | NatPrec1 10.417 | NatPrec5 52.604 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:26,  2.88s/it]  
Train Epoch:0 | Loss 2.3372 | NatPrec1 10.156 | NatPrec5 51.172 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:26,  2.88s/it]
Train Epoch:0 | Loss 2.3372 | NatPrec1 10.156 | NatPrec5 51.172 | Reg term: 0.0 ||:   0%|          | 3/782 [00:12<37:26,  2.88s/it]
Train Epoch:0 | Loss 2.3372 | NatPrec1 10.156 | NatPrec5 51.172 | Reg term: 0.0 ||:   1%|          | 4/782 [00:12<23:55,  1.85s/it]
Train Epoch:0 | Loss 2.3317 | NatPrec1 10.000 | NatPrec5 53.750 | Reg term: 0.0 ||:   1%|          | 4/782 [00:13<23:55,  1.85s/it]
Train Epoch:0 | Loss 2.3317 | NatPrec1 10.000 | NatPrec5 53.750 | Reg term: 0.0 ||:   1%|          | 4/782 [00:13<23:55,  1.85s/it]
Train Epoch:0 | Loss 2.3317 | NatPrec1 10.000 | NatPrec5 53.750 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:55,  1.31s/it]
Train Epoch:0 | Loss 2.3181 | NatPrec1 11.979 | NatPrec5 55.208 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:55,  1.31s/it]
Train Epoch:0 | Loss 2.3181 | NatPrec1 11.979 | NatPrec5 55.208 | Reg term: 0.0 ||:   1%|          | 5/782 [00:13<16:55,  1.31s/it]
